Locality,Ss,Sr,S
100 Mile House,2.6,0.3,2.38
Abbotsford,2,0.3,1.9
Agassiz,2.4,0.7,2.62
Alberni,2.6,0.4,2.48
Ashcroft,1.7,0.1,1.46
Bamfield,1,0.4,1.2
Beatton River,3.3,0.1,2.74
Bella Bella,2.6,0.8,2.88
Bella Coola,4.5,0.8,4.4
Burns Lake,3.4,0.2,2.92
Cache Creek,1.7,0.2,1.56
Campbell River,2.8,0.4,2.64
Carmi,3.6,0.2,3.08
Castlegar,4.2,0.1,3.46
Chetwynd,2.4,0.2,2.12
Chilliwack,2.2,0.3,2.06
Comox,2.4,0.4,2.32
Courtenay,2.4,0.4,2.32
Cranbrook,3,0.2,2.6
Crescent Valley,4.2,0.1,3.46
Crofton,1.8,0.2,1.64
Dawson Creek,2.5,0.2,2.2
Dease Lake,2.8,0.1,2.34
Dog Creek,1.8,0.2,1.64
Duncan,1.8,0.4,1.84
Elko,3.6,0.2,3.08
Fernie,4.5,0.2,3.8
Fort Nelson,2.4,0.1,2.02
Fort St. John,2.8,0.1,2.34
Glacier,9.4,0.2,7.72
Gold River,2.8,0.6,2.84
Golden,3.7,0.2,3.16
Grand Forks,2.8,0.1,2.34
Greenwood,3.6,0.1,2.98
Hope,2.8,0.7,2.94
Jordan River,1.2,0.4,1.36
Kamloops,1.8,0.2,1.64
Kaslo,2.8,0.1,2.34
Kelowna,1.7,0.1,1.46
Kimberley,3,0.2,2.6
Kitimat Plant,5.5,0.8,5.2
Kitimat Townsite,6.5,0.8,6
Ladysmith,2.4,0.4,2.32
Langford,1.8,0.3,1.74
Lillooet,2.1,0.1,1.78
Lytton,2.8,0.3,2.54
Mackenzie,5.1,0.2,4.28
Masset,1.8,0.4,1.84
McBride,4.3,0.2,3.64
