Locality,Ss,Sr,S
Vernon,2.2,0.1,1.56
Victoria Region - Victoria (Gonzales Hts),1.5,0.3,1.29
Victoria Region - Victoria (Mt Tolmie),2.1,0.3,1.69
Victoria Region - Victoria,1.1,0.2,0.93
Whistler,9.5,0.9,7.19
White Rock,2,0.2,1.53
Williams Lake,2.4,0.2,1.79
Youbou,3.5,0.7,3.02
Athabasca,1.5,0.1,1.09
Banff,3.3,0.1,2.29
Barrhead,1.7,0.1,1.23
Beaverlodge,2.4,0.1,1.69
Brooks,1.2,0.1,0.9
Calgary,1.1,0.1,0.83
Campsie,1.7,0.1,1.23
Camrose,2,0.1,1.43
Canmore,3.2,0.1,2.22
Cardston,1.5,0.1,1.09
Claresholm,1.3,0.1,0.96
Cold Lake,1.7,0.1,1.23
Coleman,2.7,0.3,2.09
Coronation,1.9,0.1,1.36
Cowley,1.6,0.1,1.16
Drumheller,1.2,0.1,0.9
Edmonton,1.7,0.1,1.23
Edson,2.1,0.1,1.49
Embarras Portage,2.2,0.1,1.56
Fairview,2.4,0.1,1.69
Fort MacLeod,1.2,0.1,0.9
Fort McMurray,1.5,0.1,1.09
Fort Saskatchewan,1.6,0.1,1.16
Fort Vermilion,2.1,0.1,1.49
Grande Prairie,2.2,0.1,1.56
Habay,2.4,0.1,1.69
Hardisty,1.7,0.1,1.23
High River,1.3,0.1,0.96
Hinton,2.6,0.1,1.82
Jasper,3,0.1,2.09
Keg River,2.4,0.1,1.69
Lac la Biche,1.6,0.1,1.16
Lacombe,1.9,0.1,1.36
Lethbridge,1.2,0.1,0.9
Manning,2.3,0.1,1.62
Medicine Hat,1.1,0.1,0.83
Peace River,2.2,0.1,1.56
Pincher Creek,1.5,0.1,1.09
Ranfurly,1.9,0.1,1.36
Red Deer,1.8,0.1,1.29
Rocky Mountain House,1.9,0.1,1.36
